ds,y,Finishing time,Number of People,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2024-07-07 14:00:00,1,15,77,1,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-11 22:00:00,1,23,14,1,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-05 06:00:00,1,7,5,0,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-12 18:00:00,1,19,4,0,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-01 15:00:00,1,16,17,0,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-01 23:00:00,1,0,1,0,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-01 20:00:00,1,21,0,0,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-13 18:00:00,1,19,32,0,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-06 13:00:00,1,14,5,0,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-06 12:00:00,1,13,5,0,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-07 07:00:00,1,8,3,0,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-25 06:00:00,1,7,0,0,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-14 10:00:00,0,11,8,1535,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-14 15:00:00,0,16,5,1417,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-14 16:00:00,0,17,9,1122,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-13 10:00:00,0,11,5,1120,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
