Day,Date,Hour,Source,Number_of_Bicycles_,Number_of_People,Number_of_Road_Vehicles,FID
Sun,2023/11/26 00:00:00+00,8:00 PM-9:00 PM,Camera 500 Hilltown,5,95,484,4781
Sun,2023/11/26 00:00:00+00,10:00 PM-11:00 PM,Camera 500 Hilltown,5,63,374,4782
Sun,2023/11/26 00:00:00+00,3:00 AM-4:00 AM,Camera 320 Westport,5,514,339,4783
Sun,2023/11/26 00:00:00+00,11:00 PM-12:00 AM,Camera 320 Westport,5,71,286,4784
Sun,2023/11/26 00:00:00+00,10:00 AM-11:00 AM,Camera 323 Union Street,5,584,143,4785
Sun,2023/11/26 00:00:00+00,8:00 PM-9:00 PM,Camera  308 Murraygate,5,387,37,4786
Sun,2023/11/26 00:00:00+00,9:00 AM-10:00 AM,Camera  308 Murraygate,5,384,30,4787
Sun,2023/11/26 00:00:00+00,10:00 AM-11:00 AM,Camera  308 Murraygate,5,1049,27,4788
Sun,2023/11/26 00:00:00+00,12:00 AM-1:00 AM,Camera 317 Reform St,5,449,12,4789
Sat,2023/11/25 00:00:00+00,7:00 AM-8:00 AM,Camera 320 Westport,2,100,352,4790
Sat,2023/11/25 00:00:00+00,6:00 AM-7:00 AM,Camera 320 Westport,2,32,199,4791
Sat,2023/11/25 00:00:00+00,6:00 AM-7:00 AM,Camera 500 Hilltown,2,21,172,4792
Sat,2023/11/25 00:00:00+00,8:00 PM-9:00 PM,Camera 317 Reform St,2,1393,108,4793
Sat,2023/11/25 00:00:00+00,6:00 PM-7:00 PM,Camera 332 Waterfront,2,164,97,4794
Sat,2023/11/25 00:00:00+00,8:00 PM-9:00 PM,Camera 332 Waterfront,2,95,97,4795
Sat,2023/11/25 00:00:00+00,7:00 AM-8:00 AM,Camera 323 Union Street,2,80,79,4796
Sat,2023/11/25 00:00:00+00,7:00 PM-8:00 PM,Camera 310 - Seagate,2,278,72,4797
Sat,2023/11/25 00:00:00+00,7:00 AM-8:00 AM,Camera 317 Reform St,2,153,50,4798
Sat,2023/11/25 00:00:00+00,11:00 PM-12:00 AM,Camera 332 Waterfront,2,45,44,4799
Sat,2023/11/25 00:00:00+00,6:00 AM-7:00 AM,Camera 323 Union Street,2,55,36,4800
Tue,2023/11/28 00:00:00+00,2:00 PM-3:00 PM,Camera 500 Hilltown,41,86,784,4801
Tue,2023/11/28 00:00:00+00,10:00 PM-11:00 PM,Camera 323 Union Street,39,239,98,4802
Tue,2023/11/28 00:00:00+00,9:00 AM-10:00 AM,Camera 328 South Marketgait,38,905,2246,4803
Tue,2023/11/28 00:00:00+00,9:00 AM-10:00 AM,Camera 332 Waterfront,37,67,835,4804
Tue,2023/11/28 00:00:00+00,6:00 PM-7:00 PM,Camera 500 Hilltown,35,317,1053,4805
Tue,2023/11/28 00:00:00+00,8:00 AM-9:00 AM,Camera 500 Hilltown,34,404,1354,4806
Tue,2023/11/28 00:00:00+00,8:00 AM-9:00 AM,Camera 328 South Marketgait,30,954,2831,4807
Tue,2023/11/28 00:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,30,526,1527,4808
Tue,2023/11/28 00:00:00+00,1:00 PM-2:00 PM,Camera 500 Hilltown,29,271,1119,4809
Tue,2023/11/28 00:00:00+00,2:00 PM-3:00 PM,Camera 323 Union Street,29,815,217,4810
Tue,2023/11/28 00:00:00+00,9:00 PM-10:00 PM,Camera 323 Union Street,26,285,145,4811
Tue,2023/11/28 00:00:00+00,9:00 AM-10:00 AM,Camera 500 Hilltown,25,422,1072,4812
Tue,2023/11/28 00:00:00+00,7:00 AM-8:00 AM,Camera 500 Hilltown,24,90,729,4813
Tue,2023/11/28 00:00:00+00,10:00 AM-11:00 AM,Camera 317 Reform St,22,1494,208,4814
Tue,2023/11/28 00:00:00+00,10:00 AM-11:00 AM,Camera 500 Hilltown,21,316,1132,4815
Tue,2023/11/28 00:00:00+00,8:00 AM-9:00 AM,Camera 323 Union Street,21,430,161,4816
Tue,2023/11/28 00:00:00+00,12:00 PM-1:00 PM,Camera 332 Waterfront,20,96,692,4817
Tue,2023/11/28 00:00:00+00,11:00 AM-12:00 PM,Camera 317 Reform St,20,1862,223,4818
Tue,2023/11/28 00:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,20,2605,216,4819
Tue,2023/11/28 00:00:00+00,11:00 PM-12:00 AM,Camera 323 Union Street,20,130,79,4820
Tue,2023/11/28 00:00:00+00,10:00 AM-11:00 AM,Camera 328 South Marketgait,19,783,1832,4821
Tue,2023/11/28 00:00:00+00,12:00 PM-1:00 PM,Camera 500 Hilltown,19,330,1341,4822
Tue,2023/11/28 00:00:00+00,8:00 AM-9:00 AM,Camera 332 Waterfront,19,86,1077,4823
Tue,2023/11/28 00:00:00+00,2:00 PM-3:00 PM,Camera 317 Reform St,19,1356,139,4824
Tue,2023/11/28 00:00:00+00,3:00 PM-4:00 PM,Camera 328 South Marketgait,18,759,1779,4825
Tue,2023/11/28 00:00:00+00,3:00 PM-4:00 PM,Camera 323 Union Street,18,743,237,4826
Tue,2023/11/28 00:00:00+00,11:00 AM-12:00 PM,Camera 500 Hilltown,17,264,1177,4827
Tue,2023/11/28 00:00:00+00,1:00 PM-2:00 PM,Camera 323 Union Street,17,943,246,4828
