Day,Date,Hour,Source,Number_of_Bicycles,Number_of_People,Number_of_Road_Vehicles_,FID
Mon,2024/01/01 00:00:00+00,10:00 PM-11:00 PM,Camera 332 Waterfront,0,49,66,208
Tue,2024/01/02 00:00:00+00,7:00 AM-8:00 AM,Camera 328 South Marketgait,0,19,230,209
Tue,2024/01/02 00:00:00+00,4:00 AM-5:00 AM,Camera 328 South Marketgait,0,5,15,210
Mon,2024/01/01 00:00:00+00,12:00 AM-1:00 AM,Camera 332 Waterfront,0,87,64,211
Tue,2024/01/02 00:00:00+00,11:00 PM-12:00 AM,Camera 320 Westport,0,89,222,212
Tue,2024/01/02 00:00:00+00,8:00 AM-9:00 AM,Camera 317 Reform St,0,171,14,213
Mon,2024/01/01 00:00:00+00,2:00 AM-3:00 AM,Camera 328 South Marketgait,0,201,62,214
Tue,2024/01/02 00:00:00+00,6:00 PM-7:00 PM,Camera 310 - Seagate,0,300,198,215
Tue,2024/01/02 00:00:00+00,3:00 AM-4:00 AM,Camera 310 - Seagate,0,25,13,216
Mon,2024/01/01 00:00:00+00,1:00 AM-2:00 AM,Camera  308 Murraygate,0,242,54,217
Tue,2024/01/02 00:00:00+00,10:00 PM-11:00 PM,Camera 328 South Marketgait,0,30,198,218
Tue,2024/01/02 00:00:00+00,7:00 AM-8:00 AM,Camera 323 Union Street,0,20,13,219
Mon,2024/01/01 00:00:00+00,5:00 PM-6:00 PM,Camera 317 Reform St,0,427,51,220
Tue,2024/01/02 00:00:00+00,10:00 AM-11:00 AM,Camera 310 - Seagate,0,656,194,221
Tue,2024/01/02 00:00:00+00,4:00 AM-5:00 AM,Camera 500 Hilltown,0,3,13,222
Mon,2024/01/01 00:00:00+00,3:00 AM-4:00 AM,Camera  308 Murraygate,0,109,50,223
Tue,2024/01/02 00:00:00+00,6:00 PM-7:00 PM,Camera 332 Waterfront,0,221,173,224
Tue,2024/01/02 00:00:00+00,3:00 AM-4:00 AM,Camera 500 Hilltown,0,1,12,225
Mon,2024/01/01 00:00:00+00,9:00 PM-10:00 PM,Camera 310 - Seagate,0,29,50,226
Tue,2024/01/02 00:00:00+00,5:00 PM-6:00 PM,Camera 310 - Seagate,0,247,161,227
Tue,2024/01/02 00:00:00+00,5:00 AM-6:00 AM,Camera 310 - Seagate,0,9,11,228
Mon,2024/01/01 00:00:00+00,2:00 AM-3:00 AM,Camera 332 Waterfront,0,31,43,229
Tue,2024/01/02 00:00:00+00,7:00 PM-8:00 PM,Camera 500 Hilltown,0,13,157,230
Tue,2024/01/02 00:00:00+00,8:00 PM-9:00 PM,Camera 317 Reform St,0,713,10,231
Mon,2024/01/01 00:00:00+00,5:00 AM-6:00 AM,Camera 310 - Seagate,0,39,42,232
Tue,2024/01/02 00:00:00+00,8:00 AM-9:00 AM,Camera 500 Hilltown,0,2,152,233
Tue,2024/01/02 00:00:00+00,1:00 AM-2:00 AM,Camera  308 Murraygate,0,11,10,234
Mon,2024/01/01 00:00:00+00,7:00 AM-8:00 AM,Camera 332 Waterfront,0,32,42,235
Tue,2024/01/02 00:00:00+00,10:00 PM-11:00 PM,Camera 320 Westport,0,13,150,236
Tue,2024/01/02 00:00:00+00,3:00 AM-4:00 AM,Camera  308 Murraygate,0,0,8,237
Mon,2024/01/01 00:00:00+00,10:00 PM-11:00 PM,Camera 310 - Seagate,0,28,42,238
Tue,2024/01/02 00:00:00+00,9:00 AM-10:00 AM,Camera 310 - Seagate,0,290,142,239
Tue,2024/01/02 00:00:00+00,8:00 AM-9:00 AM,Camera  308 Murraygate,0,165,7,240
Mon,2024/01/01 00:00:00+00,5:00 PM-6:00 PM,Camera 310 - Seagate,0,125,37,241
Tue,2024/01/02 00:00:00+00,6:00 AM-7:00 AM,Camera 328 South Marketgait,0,16,141,242
Tue,2024/01/02 00:00:00+00,5:00 PM-6:00 PM,Camera  308 Murraygate,0,657,6,243
Mon,2024/01/01 00:00:00+00,4:00 AM-5:00 AM,Camera  308 Murraygate,0,36,37,244
Tue,2024/01/02 00:00:00+00,12:00 AM-1:00 AM,Camera 320 Westport,0,78,140,245
Mon,2024/01/01 00:00:00+00,9:00 AM-10:00 AM,Camera 310 - Seagate,0,80,36,246
Tue,2024/01/02 00:00:00+00,2:00 AM-3:00 AM,Camera 323 Union Street,0,1,6,247
Tue,2024/01/02 00:00:00+00,8:00 PM-9:00 PM,Camera 500 Hilltown,0,15,130,248
Tue,2024/01/02 00:00:00+00,1:00 AM-2:00 AM,Camera 317 Reform St,0,54,5,249
Tue,2024/01/02 00:00:00+00,7:00 AM-8:00 AM,Camera 500 Hilltown,0,3,122,250
Tue,2024/01/02 00:00:00+00,7:00 AM-8:00 AM,Camera  308 Murraygate,0,43,5,251
Mon,2024/01/01 00:00:00+00,11:00 PM-12:00 AM,Camera  308 Murraygate,0,27,36,252
Tue,2024/01/02 00:00:00+00,11:00 PM-12:00 AM,Camera 328 South Marketgait,0,7,118,253
Tue,2024/01/02 00:00:00+00,6:00 AM-7:00 AM,Camera 310 - Seagate,0,24,5,254
Mon,2024/01/01 00:00:00+00,6:00 AM-7:00 AM,Camera 332 Waterfront,0,16,36,255
Tue,2024/01/02 00:00:00+00,8:00 AM-9:00 AM,Camera 310 - Seagate,0,88,102,256
Tue,2024/01/02 00:00:00+00,6:00 AM-7:00 AM,Camera 317 Reform St,0,38,4,257
Mon,2024/01/01 00:00:00+00,8:00 PM-9:00 PM,Camera  308 Murraygate,0,112,33,258
Tue,2024/01/02 00:00:00+00,9:00 PM-10:00 PM,Camera 310 - Seagate,0,135,101,259
