Day,Date,Hour,Source,Number_of_Bicycles,Number_of_People,Number_of_Road_Vehicles,FID
Sun,2023/09/30 23:00:00+00,9:00 PM-10:00 PM,Camera 331 Railway Station,9,155,589,233
Mon,2023/10/01 23:00:00+00,1:00 AM-2:00 AM,Camera 328 South Marketgait,0,47,97,234
Mon,2023/10/01 23:00:00+00,7:00 AM-8:00 AM,Camera 323 Union Street,12,109,54,235
Sun,2023/09/30 23:00:00+00,7:00 AM-8:00 AM,Camera 500 Hilltown,9,86,227,236
Mon,2023/10/01 23:00:00+00,10:00 PM-11:00 PM,Camera 500 Hilltown,0,27,93,237
Mon,2023/10/01 23:00:00+00,11:00 AM-12:00 PM,Camera 323 Union Street,12,641,3,238
Sun,2023/09/30 23:00:00+00,8:00 PM-9:00 PM,Camera 310 - Seagate,9,266,211,239
Mon,2023/10/01 23:00:00+00,2:00 AM-3:00 AM,Camera 500 Hilltown,0,23,71,240
Mon,2023/10/01 23:00:00+00,2:00 AM-3:00 AM,Camera 328 South Marketgait,0,21,67,241
Mon,2023/10/01 23:00:00+00,2:00 AM-3:00 AM,Camera 331 Railway Station,0,10,65,242
Mon,2023/10/01 23:00:00+00,3:00 AM-4:00 AM,Camera 331 Railway Station,0,1,58,243
Mon,2023/10/01 23:00:00+00,3:00 AM-4:00 AM,Camera 328 South Marketgait,0,7,52,244
Mon,2023/10/01 23:00:00+00,2:00 AM-3:00 AM,Camera 310 - Seagate,0,296,47,245
Mon,2023/10/01 23:00:00+00,5:00 AM-6:00 AM,Camera 320 Westport,0,25,41,246
Mon,2023/10/01 23:00:00+00,4:00 AM-5:00 AM,Camera 320 Westport,0,36,27,247
Mon,2023/10/01 23:00:00+00,3:00 AM-4:00 AM,Camera 320 Westport,0,36,24,248
Mon,2023/10/01 23:00:00+00,3:00 AM-4:00 AM,Camera 500 Hilltown,0,6,21,249
Mon,2023/10/01 23:00:00+00,5:00 AM-6:00 AM,Camera 317 Reform St,0,61,3,250
Mon,2023/10/01 23:00:00+00,5:00 AM-6:00 AM,Camera  308 Murraygate,0,32,2,251
Mon,2023/10/01 23:00:00+00,5:00 AM-6:00 AM,Camera 500 Hilltown,0,0,2,252
Mon,2023/10/01 23:00:00+00,2:00 AM-3:00 AM,Camera 317 Reform St,0,80,1,253
Mon,2023/10/01 23:00:00+00,1:00 AM-2:00 AM,Camera 317 Reform St,0,144,0,254
Mon,2023/10/01 23:00:00+00,3:00 AM-4:00 AM,Camera 317 Reform St,0,35,0,255
Mon,2023/10/01 23:00:00+00,12:00 AM-1:00 AM,Camera  308 Murraygate,0,31,0,256
Mon,2023/10/01 23:00:00+00,11:00 PM-12:00 AM,Camera  308 Murraygate,0,25,0,257
Mon,2023/10/01 23:00:00+00,2:00 AM-3:00 AM,Camera  308 Murraygate,0,17,0,258
